"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
10,"ATMASTCO","Atmastco Limited","INE05DH01017","STASM - II (12)"
11,"AUROIMPEX","Auro Impex  & Chemicals Limited","INE0NUL01018","STASM - I (11)"
12,"BASILIC","Basilic Fly Studio Limited","INE0OCC01013","STASM - I (11)"
13,"BBOX","Black Box Limited","INE676A01027","STASM - I (11)"
14,"BBTC","Bombay Burmah Trading Corporation Limited","INE050A01025","STASM - I (11)"
15,"BEPL","Bhansali Engineering Polymers Limited","INE922A01025","STASM - I (11)"
16,"BLUEPEBBLE","Blue Pebble Limited","INE0SAK01011","STASM - II (12)"
17,"CHEMBOND","Chembond Chemicals Ltd","INE995D01025","STASM - I (11)"
18,"CLOUD","Varanium Cloud Limited","INE0JOO01021","STASM - I (11)"
19,"DCG","DCG Cables & Wires Limited","INE0S8401018","STASM - I (11)"
20,"DCXINDIA","DCX Systems Limited","INE0KL801015","STASM - I (11)"
21,"DIGISPICE","DiGiSPICE Technologies Limited","INE927C01020","STASM - I (11)"
22,"DYNAMIC","Dynamic Services & Security Limited","INE0DZ701010","STASM - I (11)"
23,"EMAMIPAP","Emami Paper Mills Limited","INE830C01026","STASM - I (11)"
24,"ENFUSE","Enfuse Solutions Limited","INE0S3X01014","STASM - I (11)"
25,"ENSER","Enser Communications Limited","INE0R9I01013","STASM - I (11)"
26,"EPACK","EPACK Durable Limited","INE0G5901015","STASM - I (11)"
27,"ESCONET","Esconet Technologies Limited","INE0RQZ01017","STASM - I (11)"
28,"GEPIL","GE Power India Limited","INE878A01011","STASM - I (11)"
29,"GICL","Globe International Carriers Limited","INE947T01014","STASM - I (11)"
30,"GRAVITA","Gravita India Limited","INE024L01027","STASM - I (11)"
31,"HONDAPOWER","Honda India Power Products Limited","INE634A01018","STASM - I (11)"
32,"HONDAPOWER","Honda Siel Power Products Limited","INE634A01018","STASM - I (11)"
33,"HRHNEXT","HRH Next Services Limited","INE0R3501012","STASM - I (11)"
34,"IFBIND","IFB Industries Limited","INE559A01017","STASM - I (11)"
