"SR. NO 
","EFFECTIVE DATE 
","SYMBOL 
","SECURITY NAME 
","FROM 
","TO 
"
125,"09-JUL-2024","KORE","JAY JALARAM TECHNOLOGIES LIMITED","20","10"
126,"09-JUL-2024","KAYA","KAYA LIMITED","10","5"
127,"08-JUL-2024","VINYAS","VINYAS INNOVATIVE TECHNOLOGIES LIMITED","10","5"
128,"08-JUL-2024","UMAEXPORTS","UMA EXPORTS LIMITED","5","10"
129,"08-JUL-2024","TVVISION","TV VISION LIMITED","2","5"
130,"08-JUL-2024","TBI","TBI CORN LIMITED","10","5"
131,"08-JUL-2024","TARMAT","TARMAT LIMITED","2","5"
132,"08-JUL-2024","SUPREMEENG","SUPREME ENGINEERING LIMITED","2","5"
133,"08-JUL-2024","SUMIT","SUMIT WOODS LIMITED","5","2"
134,"08-JUL-2024","SHRADHA","SHRADHA INFRAPROJECTS LIMITED","5","2"
135,"08-JUL-2024","SETCO","SETCO AUTOMOTIVE LIMITED","5","2"
136,"08-JUL-2024","SALSTEEL","S.A.L. STEEL LIMITED","5","2"
137,"08-JUL-2024","ONEPOINT","ONE POINT ONE SOLUTIONS LIMITED","10","5"
138,"08-JUL-2024","NIRMAN","NIRMAN AGRI GENETICS LIMITED","10","5"
139,"08-JUL-2024","MOXSH","MOXSH OVERSEAS EDUCON LIMITED","20","10"
140,"08-JUL-2024","LPDC","LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED","20","10"
141,"08-JUL-2024","KNAGRI","KN AGRI RESOURCES LIMITED","10","5"
142,"08-JUL-2024","JFLLIFE","JFL LIFE SCIENCES LIMITED","20","10"
143,"08-JUL-2024","JAIPURKURT","NANDANI CREATION LIMITED","5","2"
144,"08-JUL-2024","IRIS","IRIS BUSINESS SERVICES LIMITED","2","5"
145,"08-JUL-2024","GRSE","GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED","10","5"
146,"08-JUL-2024","GPECO","GP ECO SOLUTIONS INDIA LIMITED","5","20"
147,"08-JUL-2024","DELAPLEX","DELAPLEX LIMITED","20","10"
148,"08-JUL-2024","COCHINSHIP","COCHIN SHIPYARD LIMITED","10","5"
149,"08-JUL-2024","CENTEXT","CENTURY EXTRUSIONS LIMITED","10","5"
150,"08-JUL-2024","CCHHL","COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED","10","5"
151,"05-JUL-2024","UMESLTD","USHA MARTIN EDUCATION & SOLUTIONS LIMITED","10","5"
152,"05-JUL-2024","THEINVEST","THE INVESTMENT TRUST OF INDIA LIMITED","10","5"
153,"05-JUL-2024","MOTOGENFIN","THE MOTOR & GENERAL FINANCE LIMITED","10","5"
154,"05-JUL-2024","MAZDOCK","MAZAGON DOCK SHIPBUILDERS LIMITED","20","10"
155,"05-JUL-2024","GRPLTD","GRP LIMITED","10","5"
156,"05-JUL-2024","CCHHL","COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED","20","10"
157,"04-JUL-2024","ZENTEC","ZEN TECHNOLOGIES LIMITED","10","5"
158,"04-JUL-2024","VASA","VASA RETAIL AND OVERSEAS LTD","10","5"
159,"04-JUL-2024","SRPL","SHREE RAM PROTEINS LIMITED","5","2"
160,"04-JUL-2024","KRISHCA","KRISHCA STRAPPING SOLUTIONS LIMITED","10","5"
161,"04-JUL-2024","INDOWIND","INDOWIND ENERGY LIMITED","10","5"
162,"04-JUL-2024","GMBREW","GM BREWERIES LIMITED","20","10"
163,"04-JUL-2024","FROG","FROG CELLSAT LIMITED","10","5"
164,"04-JUL-2024","ENFUSE","ENFUSE SOLUTIONS LIMITED","20","10"
165,"04-JUL-2024","BTML","BODHI TREE MULTIMEDIA LIMITED","5","2"
166,"04-JUL-2024","BASILIC","BASILIC FLY STUDIO LIMITED","20","10"
167,"04-JUL-2024","AKANKSHA","AKANKSHA POWER AND INFRASTRUCTURE LIMITED","20","10"
168,"04-JUL-2024","AJOONI","AJOONI BIOTECH LIMITED","10","5"
169,"04-JUL-2024","ADSL","ALLIED DIGITAL SERVICES LIMITED","20","10"
170,"03-JUL-2024","ZODIAC","ZODIAC ENERGY LIMITED","5","2"
171,"03-JUL-2024","VIJIFIN","VIJI FINANCE LIMITED","5","2"
172,"03-JUL-2024","VERANDA","VERANDA LEARNING SOLUTIONS LIMITED","20","10"
173,"03-JUL-2024","SHRENIK","SHRENIK LIMITED","10","5"
174,"03-JUL-2024","REGENCERAM","REGENCY CERAMICS LIMITED","5","2"
175,"03-JUL-2024","NIRMAN","NIRMAN AGRI GENETICS LIMITED","20","10"
176,"03-JUL-2024","NDGL","NAGA DHUNSERI GROUP LIMITED","20","5"
177,"03-JUL-2024","NAHARPOLY","NAHAR POLY FILMS LIMITED","20","10"
178,"03-JUL-2024","KNAGRI","KN AGRI RESOURCES LIMITED","20","10"
179,"03-JUL-2024","HILTON","HILTON METAL FORGING LIMITED","10","5"
